Provider ID,Hospital Name,City,State,County Name,Survey Response Rate Percent,Patient Survey Star Rating
50232,FRENCH HOSPITAL MEDICAL CENTER,SAN LUIS OBISPO,CA,SAN LUIS OBISPO,32.0,4.0
50690,KAISER FOUNDATION HOSPITAL-SANTA ROSA,SANTA ROSA,CA,SONOMA,32.0,4.0
60030,MCKEE MEDICAL CENTER,LOVELAND,CO,LARIMER,32.0,4.0
60064,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,DENVER,CO,DENVER,32.0,4.0
60071,DELTA COUNTY MEMORIAL HOSPITAL,DELTA,CO,DELTA,32.0,4.0
60119,MEDICAL CENTER OF THE ROCKIES,LOVELAND,CO,LARIMER,32.0,4.0
10097,ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,ELMORE,31.0,4.0
10144,SPRINGHILL MEMORIAL HOSPITAL,MOBILE,AL,MOBILE,31.0,4.0
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,PHOENIX,AZ,MARICOPA,31.0,4.0
30115,BANNER ESTRELLA MEDICAL CENTER,PHOENIX,AZ,MARICOPA,31.0,4.0
50070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,SOUTH SAN FRANCISCO,CA,SAN MATEO,31.0,4.0
50515,KAISER FOUNDATION HOSPITAL - ZION,SAN DIEGO,CA,SAN DIEGO,31.0,4.0
50541,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,REDWOOD CITY,CA,SAN MATEO,31.0,4.0
60010,POUDRE VALLEY HOSPITAL,FORT COLLINS,CO,LARIMER,31.0,4.0
70004,SHARON HOSPITAL,SHARON,CT,LITCHFIELD,31.0,4.0
10065,RUSSELL MEDICAL CENTER,ALEXANDER CITY,AL,TALLAPOOSA,30.0,4.0
30130,BANNER IRONWOOD MEDICAL CENTER,QUEEN CREEK,AZ,PINAL,30.0,4.0
40027,BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,AR,BAXTER,30.0,4.0
40047,FIVE RIVERS MEDICAL CENTER,POCAHONTAS,AR,RANDOLPH,30.0,4.0
50007,MILLS-PENINSULA MEDICAL CENTER,BURLINGAME,CA,SAN MATEO,30.0,4.0
50573,EISENHOWER MEDICAL CENTER,RANCHO MIRAGE,CA,RIVERSIDE,30.0,4.0
50603,MEMORIALCARE SADDLEBACK MEDICAL CENTER,LAGUNA HILLS,CA,ORANGE,30.0,4.0
